ID,LATITUDE,LONGITUDE,LOG1,LOG2,TIPO_ACID,QUEDA_ARR,DATA_HORA,DIA_SEM,FERIDOS,FERIDOS_GR,MORTES,MORTE_POST,FATAIS,AUTO,TAXI,LOTACAO,ONIBUS_URB,ONIBUS_MET,ONIBUS_INT,CAMINHAO,MOTO,CARROCA,BICICLETA,OUTRO,TEMPO,NOITE_DIA,REGIAO,DIA,MES,ANO,FX_HORA,UPS,
15078,-30.0820995851,-51.2433406712,AV CHUI,,ABALROAMENTO,0,2009-09-14T16:00:00,SEGUNDA-FEIRA,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,BOM,DIA,SUL,14,9,2009,16,5,
15079,-29.9980319596,-51.1533313415,AV SERTORIO,,COLISAO,0,2009-09-14T16:10:00,SEGUNDA-FEIRA,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,DIA,NORTE,14,9,2009,16,5,
15080,-30.0357315631,-51.2337123512,R DEMETRIO RIBEIRO,R GEN BENTO MARTINS,COLISAO,0,2009-09-14T17:00:00,SEGUNDA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,CENTRO,14,9,2009,17,1,
15081,-30.0114418516,-51.1619887983,R ANTONIO JOAQUIM MESQUITA,,ABALROAMENTO,0,2009-09-14T17:00:00,SEGUNDA-FEIRA,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,BOM,DIA,NORTE,14,9,2009,17,1,
15082,-30.0816736036,-51.2422916467,R IBICUI,AV CHUI,COLISAO,0,2009-09-14T17:15:00,SEGUNDA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,BOM,DIA,SUL,14,9,2009,17,1,
15083,-29.9998340865,-51.1985469722,AV FARRAPOS,,COLISAO,0,2009-09-14T17:15:00,SEGUNDA-FEIRA,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,BOM,DIA,NORTE,14,9,2009,17,1,
15084,-30.0255527883,-51.2198069091,R COMENDADOR MANOEL PEREIRA,R DA CONCEICAO,ABALROAMENTO,0,2009-09-14T18:10:00,SEGUNDA-FEIRA,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,BOM,NOITE,CENTRO,14,9,2009,18,1,
15085,-30.0730383922,-51.1998588746,R PEDRO BOTICARIO,,ABALROAMENTO,0,2009-09-14T18:10:00,SEGUNDA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,NOITE,LESTE,14,9,2009,18,5,
15086,-30.0048280526,-51.0987888106,AV BERNARDINO SILVEIRA DE AMORIM,,COLISAO,0,2009-09-14T18:14:00,SEGUNDA-FEIRA,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,BOM,NOITE,NORTE,14,9,2009,18,1,
15087,-30.0377134603,-51.1881638131,AV NILOPOLIS,,ABALROAMENTO,0,2009-09-14T18:15:00,SEGUNDA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,NOITE,LESTE,14,9,2009,18,5,
15088,-30.0385537316,-51.1744416572,AV PROTASIO ALVES,AV SENADOR TARSO DUTRA,ABALROAMENTO,0,2009-09-14T18:20:00,SEGUNDA-FEIRA,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,BOM,NOITE,LESTE,14,9,2009,18,1,
15089,-30.070292053,-51.2166180208,R PROF MANOEL LOBATO,,ABALROAMENTO,0,2009-09-14T18:30:00,SEGUNDA-FEIRA,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,SUL,14,9,2009,18,5,
15090,-29.9755303609,-51.1788270922,AV A J RENNER,AV ERNESTO NEUGEBAUER,COLISAO,0,2009-09-14T18:30:00,SEGUNDA-FEIRA,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,NUBLADO,NOITE,NORTE,14,9,2009,18,1,
15091,-30.1020669154,-51.2310430271,AV OTTO NIEMEYER,AV DA CAVALHADA,ABALROAMENTO,0,2009-09-14T18:35:00,SEGUNDA-FEIRA,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,BOM,NOITE,SUL,14,9,2009,18,1,
15092,-30.0521967421,-51.2283577063,AV PRAIA DE BELAS,,COLISAO,0,2009-09-14T18:40:00,SEGUNDA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NUBLADO,NOITE,SUL,14,9,2009,18,1,
15093,-30.0404986177,-51.1294151244,AV PROTASIO ALVES,,COLISAO,0,2009-09-14T19:00:00,SEGUNDA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,LESTE,14,9,2009,19,1,
15094,-30.0297137123,-51.2246700792,R DOS ANDRADAS,R DR FLORES,ABALROAMENTO,0,2009-09-14T19:05:00,SEGUNDA-FEIRA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,BOM,NOITE,CENTRO,14,9,2009,19,1,
15095,-30.068823271,-51.2050948338,AV NITEROI,AV PROF OSCAR PEREIRA,COLISAO,0,2009-09-14T19:25:00,SEGUNDA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,NUBLADO,NOITE,SUL,14,9,2009,19,1,
15096,-30.0220624013,-51.1875594023,R CARLOS TREIN FILHO,AV PLINIO BRASIL MILANO,ABALROAMENTO,0,2009-09-14T19:30:00,SEGUNDA-FEIRA,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,NOITE,LESTE,14,9,2009,19,1,
15097,-30.0116655323,-51.1271023528,AV BALTAZAR DE OLIVEIRA GARCIA,AV GOMES DE CARVALHO,ABALROAMENTO,0,2009-09-14T20:30:00,SEGUNDA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,NORTE,14,9,2009,20,1,
15098,-30.1329543049,-51.2182356583,AV EDUARDO PRADO,,ABALROAMENTO,0,2009-09-14T22:00:00,SEGUNDA-FEIRA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,BOM,NOITE,SUL,14,9,2009,22,1,
15099,-30.0331567051,-51.225834183,R DUQUE DE CAXIAS,,CHOQUE,0,2009-09-14T22:35:00,SEGUNDA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,CENTRO,14,9,2009,22,1,
15100,-30.0647117114,-51.181555423,AV BENTO GONCALVES,,ATROPELAMENTO,0,2009-09-14T23:40:00,SEGUNDA-FEIRA,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,BOM,NOITE,LESTE,14,9,2009,23,5,
15101,-30.0302377465,-51.2230350716,PCA DOM FELICIANO,,ABALROAMENTO,0,2009-09-15T00:35:00,TERCA-FEIRA,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,BOM,NOITE,CENTRO,15,9,2009,0,1,
15102,-30.0434499692,-51.2146813039,AV JOAO PESSOA,,COLISAO,0,2009-09-15T01:00:00,TERCA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,CENTRO,15,9,2009,1,1,
15103,-30.0409835925,-51.130820155,AV PROTASIO ALVES,R JOAO DA SILVA BUENO,ABALROAMENTO,0,2009-09-15T07:00:00,TERCA-FEIRA,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,DIA,LESTE,15,9,2009,7,1,
15104,-30.0281337493,-51.2224030092,R PINTO BANDEIRA,AV ALBERTO BINS,ABALROAMENTO,0,2009-09-15T07:05:00,TERCA-FEIRA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,BOM,DIA,CENTRO,15,9,2009,7,1,
15105,-30.0691742248,-51.2075478746,AV NITEROI,,COLISAO,0,2009-09-15T07:12:00,TERCA-FEIRA,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,BOM,DIA,SUL,15,9,2009,7,5,
15106,-30.0032599284,-51.2074461754,R VOLUNTARIOS DA PATRIA,AV BRASIL,ABALROAMENTO,0,2009-09-15T07:40:00,TERCA-FEIRA,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,BOM,DIA,NORTE,15,9,2009,7,1,
15107,-30.0938997094,-51.137112599,ESTR SAO FRANCISCO,,COLISAO,0,2009-09-15T08:00:00,TERCA-FEIRA,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,BOM,DIA,LESTE,15,9,2009,8,5,
15108,-30.0353414998,-51.1855917188,AV DR NILO PECANHA,LG ALFREDO LE PERA,ABALROAMENTO,0,2009-09-15T08:03:00,TERCA-FEIRA,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,CHUVOSO,DIA,NORTE,15,9,2009,8,1,
15109,-30.0302890305,-51.2084878848,R RAMIRO BARCELOS,,ABALROAMENTO,0,2009-09-15T08:05:00,TERCA-FEIRA,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,BOM,DIA,CENTRO,15,9,2009,8,1,
15110,-30.0031804862,-51.1788168033,AV SERTORIO,,COLISAO,0,2009-09-15T08:12:00,TERCA-FEIRA,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,BOM,DIA,NORTE,15,9,2009,8,1,
15111,-30.0624947772,-51.1776623155,AV BENTO GONCALVES,,COLISAO,0,2009-09-15T08:20:00,TERCA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,LESTE,15,9,2009,8,1,
15112,-30.0032614109,-51.1826988556,AV SERTORIO,,COLISAO,0,2009-09-15T08:31:00,TERCA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,NORTE,15,9,2009,8,1,
15113,-30.0403029208,-51.1651425819,AV PROTASIO ALVES,,ABALROAMENTO,0,2009-09-15T08:40:00,TERCA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,DIA,LESTE,15,9,2009,8,5,
15114,-29.9999248518,-51.1593044674,AV POLAR,,ABALROAMENTO,0,2009-09-15T09:31:00,TERCA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,NORTE,15,9,2009,9,1,
15115,-30.0118257298,-51.1683288902,AV ASSIS BRASIL,R ACORES,ABALROAMENTO,0,2009-09-15T09:40:00,TERCA-FEIRA,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,BOM,DIA,NORTE,15,9,2009,9,1,
15116,-30.0359806014,-51.2318063329,R DEMETRIO RIBEIRO,R GEN AUTO,COLISAO,0,2009-09-15T10:00:00,TERCA-FEIRA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,BOM,DIA,CENTRO,15,9,2009,10,1,
15117,-30.0353414998,-51.1855917188,AV DR NILO PECANHA,LG ALFREDO LE PERA,COLISAO,0,2009-09-15T10:00:00,TERCA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,LESTE,15,9,2009,10,1,
15118,-29.9978522502,-51.1383731434,AV SERTORIO,,COLISAO,0,2009-09-15T10:00:00,TERCA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,NORTE,15,9,2009,10,1,
15119,-30.0500988599,-51.2218315678,AV GETULIO VARGAS,,COLISAO,0,2009-09-15T10:20:00,TERCA-FEIRA,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,BOM,DIA,CENTRO,15,9,2009,10,5,
